Airline,Departure,Arrival,NoControl,LQR,Saved
UA,IAD,SFO,1108.3412005,238.840001476,869.50119902
UA,AUS,ORD,797.692903358,149.29377487,648.399128488
UA,SEA,SFO,1341.3683785,123.486379584,1217.88199892
UA,PHX,EWR,676.301161277,120.515087532,555.786073746
UA,CLE,IAH,480.890913932,153.257933027,327.632980905
UA,ANC,ORD,2798.29410874,434.092585725,2364.20152302
UA,IAH,EWR,1539.92673074,233.749141175,1306.17758956
UA,IAH,SEA,1349.36510671,220.65832674,1128.70677997
UA,SFO,PIT,852.539532239,166.45638176,686.08315048
UA,DTW,ORD,900.305449356,140.056692394,760.248756961
UA,DEN,MSN,1041.83324615,201.758878897,840.074367254
UA,DEN,MSP,985.360626633,181.020902877,804.339723756
UA,PDX,IAH,642.291845076,105.142057552,537.149787525
UA,DFW,EWR,1225.33467998,147.950350268,1077.38432971
UA,EWR,PHX,1474.23875105,320.977501161,1153.26124989
UA,ATL,SFO,1718.47446964,250.311074181,1468.16339546
UA,DEN,MSY,1139.3006381,192.723868318,946.57676978
UA,SFO,ORD,1525.71222819,228.932239469,1296.77998872
UA,ROC,ORD,973.39907318,207.630673261,765.76839992
UA,ORD,SFO,2231.07278659,241.644580596,1989.428206
UA,EWR,FLL,1345.35180017,236.562504026,1108.78929614
UA,BQN,EWR,2614.72219609,254.338296804,2360.38389929
UA,IND,ORD,1405.30701558,185.330308541,1219.97670703
UA,SLC,DEN,873.514743435,225.572654779,647.942088656
UA,EWR,MSY,1341.71708619,259.2273505,1082.48973569
UA,IAD,SAN,690.718627899,123.006521663,567.712106236
UA,EWR,LAX,1573.14998029,252.007350988,1321.1426293
UA,IAH,PDX,1116.90707218,212.225970243,904.68110194
UA,IAH,DFW,1779.73395943,396.718974964,1383.01498447
UA,CMH,DEN,825.657789475,217.502499018,608.155290457
UA,ORD,FLL,947.504143159,170.522342222,776.981800938
UA,EWR,LAS,1309.11344151,299.265323793,1009.84811771
UA,RSW,DEN,954.227677367,184.850270525,769.377406843
